"idade","renda","divida","utilizacao_credito","consultas_recentes","inadimplencia","idade_cat"
66,5000.30921001234,1999.04028297385,0.657097249899983,5.81237379229484,0,"(60,70]"
54,5001.1615859609,2001.14993409791,0,5.3176362149027,1,"(49,60]"
18,4999.75515784258,1999.39695508135,1,6.06778190626085,0,"[18,28]"
42,4999.27746823973,1999.90178562778,0,4.65614509037178,1,"(39,49]"
27,4999.85383174815,1999.02952159973,0.196418855940076,3.51559867624043,0,"[18,28]"
53,5000.22704292813,2000.53290269927,0.916660639527749,4.63697568704041,0,"(49,60]"
35,4999.84000200753,1999.53756215539,1,8.17020156555634,0,"(28,39]"
66,5001.49442924068,2000.47712334943,1,4.16255686770197,0,"(60,70]"
64,4999.4294687984,1998.56491709418,0.51140838304286,4.22840625120098,0,"(60,70]"
41,5000.73878822147,1998.62887311206,0.641441726015686,4.16985484578943,0,"(39,49]"
24,5001.92516024753,2000.73874014776,0.150596444223268,2.13487655346366,0,"[18,28]"
53,5001.59832792691,1999.75095854864,1,5.73706167831657,0,"(49,60]"
42,4999.65654808643,1999.81190475931,1,5.89982797307706,0,"(39,49]"
54,5002.61846566711,1999.87686890903,0.215287354355558,4.11562731539187,0,"(49,60]"
63,4999.90204739492,2000.07877877155,0,4.81637404024341,1,"(60,70]"
37,4999.05189634287,2000.57194371681,0.160315783657786,4.193681416643,0,"(28,39]"
43,5002.37768058969,2001.49001647796,1,5.89980271475607,0,"(39,49]"
67,5000.67584594387,2000.71862079916,1,6.98180125520732,0,"(60,70]"
64,4999.84110735119,2000.13144220481,0,4.63882433688056,0,"(60,70]"
20,5000.0665851494,2001.03509856061,1,6.70234561901911,1,"[18,28]"
58,4999.59586340935,1998.46529259307,0.667663986895618,4.78539685668157,0,"(49,60]"
42,4999.76533747147,2001.17894113855,0,5.30493158324406,0,"(39,49]"
44,4999.61395999267,2001.6285936652,0.59684739365925,5.02310760923871,0,"(39,49]"
53,4999.65543609559,2000.17675126148,1,5.75205095770761,1,"(49,60]"
54,5000.12055409592,2000.8338607421,1,7.05660967068311,0,"(49,60]"
48,4998.70293552106,1999.49535223728,0.811840484326415,3.92764289061943,0,"(39,49]"
62,4999.41103191957,1999.96989135187,0.515759380299158,4.25456216770265,0,"(60,70]"
22,4999.74407734456,1999.119278316,0,4.10069295915965,0,"[18,28]"
37,4999.38341487392,1999.84780217149,0,4.69401415866628,0,"(28,39]"
51,4999.31692784271,2000.7471971895,1,5.89690700004067,0,"(49,60]"
45,4999.82294196636,1998.68666033248,0,4.01672739031673,0,"(39,49]"
57,5000.40170954164,2000.0327764771,0,3.97652116209682,0,"(49,60]"
20,5001.09538561698,2000.21997258967,1,5.25819190620515,0,"[18,28]"
50,5000.48890274013,2001.22202936481,0.537199774731137,5.03671298249404,0,"(49,60]"
59,4999.74448438265,1999.80551916205,0.864035742657105,4.66243554244052,1,"(49,60]"
41,5000.76419612427,1998.8739290218,1,5.71252042887599,0,"(39,49]"
47,4999.85113493284,2002.43235597623,0.626391664867043,6.30533542079295,0,"(39,49]"
60,5000.92010460213,1998.83979706307,0,2.32678717861751,0,"(49,60]"
32,4998.03763935923,1999.66948986833,0,6.1181981944576,1,"(28,39]"
39,4999.57720783655,2001.16712659866,0.137779428609292,5.75621366829489,0,"(28,39]"
25,5000.10683467105,2000.92300855959,1,5.02822082993108,0,"[18,28]"
53,5000.94489662243,2000.14914841955,0.673982258394045,4.85094846557396,0,"(49,60]"
21,4999.33268209192,1999.57279464445,1,6.1475867878741,0,"[18,28]"
39,5000.28584058728,1999.25630731511,0,6.59830509202508,1,"(28,39]"
35,4999.6170238734,2001.24636957444,1,5.84843717655622,0,"(28,39]"
62,4999.78866217315,2000.24195915073,0,5.45821486206681,1,"(60,70]"
45,4998.69634161311,2000.13164483612,1,5.64361762972532,0,"(39,49]"
22,4999.13473262031,1999.16635457917,1,6.35198046282689,0,"[18,28]"
21,4999.52178938339,2000.30248496086,0,4.82401375513707,0,"[18,28]"
51,4999.670513583,2001.74425436522,0.632106930341708,4.5367660002656,0,"(49,60]"
67,5000.56211274329,2002.06203613937,0.769791490689379,6.64522813023819,1,"(60,70]"
52,4998.90438965019,1998.96899327062,0.478390710220187,6.05674107155031,0,"(49,60]"
41,5002.28417761038,2000.18672097662,1,5.06144044955305,0,"(39,49]"
40,4999.78670918462,1999.61891457616,1,4.43258409874823,0,"(39,49]"
66,4998.78651173963,1999.78565929256,0.035220595758029,4.84606862689862,0,"(60,70]"
70,4998.43860724731,1998.83129042538,0.0319224363494398,4.09014121431593,0,"(60,70]"
